#sim_number, id, t_peak, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
788 , 497426 , 122.22673 , 10.76184 , 19.88651 , 298.29772 , 71.71513 , 5.38092 , 0.00000 , 59.65954 , 2.45040 , 5.00000 , 0.89842 , 17.48813
789 , 939237 , 41.91836 , 11.37264 , 8.25264 , 123.78966 , 99.96345 , 5.68632 , 0.00000 , 24.75793 , 5.23323 , 5.00000 , 0.93607 , 17.57983
790 , 69402 , 122.60946 , 10.29610 , 15.46438 , 231.96576 , 31.15561 , 5.14805 , 0.00000 , 46.39315 , 2.76672 , 5.00000 , 0.94206 , 16.69751
791 , 345942 , 214.61012 , 10.13286 , 18.61118 , 279.16775 , 33.54158 , 5.06643 , 0.00000 , 55.83355 , 0.12700 , 5.00000 , 0.84334 , 16.78757
792 , 610116 , 97.55346 , 9.23335 , 19.86992 , 298.04881 , 69.66959 , 4.61667 , 0.00000 , 59.60976 , 2.44408 , 5.00000 , 0.88977 , 16.54721
793 , 720428 , 198.53627 , 10.45360 , 11.85441 , 177.81622 , 56.21964 , 5.22680 , 0.00000 , 35.56324 , 3.89781 , 5.00000 , 0.95622 , 18.12522
794 , 236411 , 247.95700 , 10.19082 , 16.40691 , 246.10372 , 30.12550 , 5.09541 , 0.00000 , 49.22074 , 2.48008 , 5.00000 , 0.85707 , 18.52279
795 , 366106 , 158.80755 , 12.04941 , 13.88058 , 208.20873 , 11.65786 , 6.02471 , 0.00000 , 41.64175 , 6.15089 , 5.00000 , 0.88553 , 17.42428
796 , 294540 , 188.08924 , 11.99358 , 13.48517 , 202.27760 , 97.43302 , 5.99679 , 0.00000 , 40.45552 , 2.89750 , 5.00000 , 0.94701 , 17.35949
797 , 267200 , 99.07184 , 6.73218 , 7.93884 , 119.08267 , 99.82050 , 3.36609 , 0.00000 , 23.81653 , 5.91485 , 5.00000 , 0.91521 , 17.94755
798 , 673061 , 204.90782 , 10.73487 , 15.90441 , 238.56621 , 20.09542 , 5.36743 , 0.00000 , 47.71324 , 4.53024 , 5.00000 , 0.91208 , 16.71358
799 , 532770 , 164.43059 , 6.57901 , 12.08930 , 181.33954 , 55.00137 , 3.28951 , 0.00000 , 36.26791 , 0.72448 , 5.00000 , 0.91700 , 16.85958
800 , 823292 , 30.14770 , 10.51614 , 8.00059 , 120.00885 , 38.44053 , 3.15484 , 0.00000 , 24.00177 , 5.03673 , 1.00000 , 0.87376 , 15.98667
801 , 572234 , 36.86390 , 11.93225 , 13.44544 , 201.68167 , 96.10636 , 3.57967 , 0.00000 , 40.33633 , 3.83310 , 1.00000 , 0.85887 , 16.12351
802 , 720862 , 73.32245 , 10.84687 , 10.78067 , 161.71002 , 96.79658 , 3.25406 , 0.00000 , 32.34200 , 5.44980 , 1.00000 , 0.85841 , 16.21741
803 , 374622 , 46.31659 , 10.37202 , 7.27810 , 109.17153 , 99.35213 , 3.11161 , 0.00000 , 21.83431 , 0.08004 , 1.00000 , 0.82993 , 15.83083
804 , 195442 , 215.19141 , 11.10781 , 13.30984 , 199.64759 , 20.17576 , 3.33234 , 0.00000 , 39.92952 , 6.01311 , 1.00000 , 0.91036 , 18.31221
805 , 458542 , 254.84927 , 8.86683 , 14.87522 , 223.12828 , 89.23255 , 2.66005 , 0.00000 , 44.62566 , 3.18159 , 1.00000 , 0.85187 , 17.62457
