#sim_number, id, t_peak, C, D, amp_scale, P, new_length, offset, a_qpp, B, t_e, phi, sn, r, sn_red
21029 , 775738 , 141.00000 , 1.83333 , 0.95290 , 10.64138 , 12.98034 , 194.70515 , 41.19941 , 7.44897 , 0.00000 , 12.98034 , 1.44923 , 2.00000 , 0.98575 , 28.15015
21030 , 687974 , 46.00000 , 4.18323 , 0.77614 , 7.95102 , 7.63410 , 114.51150 , 85.90364 , 5.56571 , 0.00000 , 7.63410 , 2.78268 , 2.00000 , 0.94564 , 19.82143
21031 , 200155 , 84.00000 , 4.03967 , 0.53113 , 8.28683 , 14.97774 , 224.66605 , 36.63980 , 5.80078 , 0.00000 , 14.97774 , 0.69068 , 2.00000 , 0.94446 , 18.13917
21032 , 277630 , 181.00000 , 3.51521 , 0.84095 , 11.04969 , 15.10256 , 226.53837 , 25.18171 , 7.73478 , 0.00000 , 15.10256 , 5.88056 , 2.00000 , 0.83465 , 11.56294
21033 , 414913 , 319.00000 , 4.65810 , 0.71762 , 10.50716 , 10.18155 , 152.72330 , 40.48723 , 7.35501 , 0.00000 , 10.18155 , 5.06814 , 2.00000 , 0.91391 , 21.59710
21034 , 169688 , 53.00000 , 2.98202 , 0.97023 , 7.50418 , 12.89187 , 193.37802 , 42.39184 , 5.25292 , 0.00000 , 12.89187 , 2.73074 , 2.00000 , 0.81337 , 11.86353
21035 , 734784 , 174.00000 , 3.77226 , 0.59546 , 11.05044 , 15.62520 , 234.37801 , 27.98655 , 7.73530 , 0.00000 , 15.62520 , 4.97512 , 2.00000 , 0.88196 , 16.28715
21036 , 247804 , 263.00000 , 4.55272 , 0.87734 , 10.33704 , 15.59469 , 233.92032 , 82.50635 , 7.23593 , 0.00000 , 15.59469 , 4.42118 , 2.00000 , 0.84537 , 23.56285
21037 , 913096 , 196.00000 , 4.10754 , 0.93614 , 11.18602 , 18.13071 , 271.96060 , 71.29600 , 7.83021 , 0.00000 , 18.13071 , 0.49350 , 2.00000 , 0.87512 , 12.60563
21038 , 522068 , 262.00000 , 3.57788 , 0.77620 , 13.01531 , 11.96639 , 179.49583 , 40.46378 , 9.11072 , 0.00000 , 11.96639 , 2.72464 , 2.00000 , 0.85690 , 18.54621
21039 , 154624 , 79.00000 , 1.13854 , 0.93278 , 9.73363 , 16.63452 , 249.51774 , 97.07986 , 6.81354 , 0.00000 , 16.63452 , 2.55114 , 2.00000 , 0.91472 , 15.99441
21040 , 226007 , 35.00000 , 1.36303 , 0.37691 , 12.16851 , 19.71398 , 295.70966 , 86.43134 , 8.51796 , 0.00000 , 19.71398 , 3.22293 , 3.00000 , 0.92432 , 23.18317
21041 , 584043 , 241.00000 , 2.27260 , 0.46493 , 13.62082 , 13.41621 , 201.24319 , 90.80516 , 9.53457 , 0.00000 , 13.41621 , 1.37936 , 3.00000 , 0.94456 , 19.77856
21042 , 227408 , 169.00000 , 3.93392 , 0.96467 , 8.88653 , 14.18049 , 212.70732 , 82.84712 , 6.22057 , 0.00000 , 14.18049 , 3.14177 , 3.00000 , 0.92005 , 12.17929
21043 , 389051 , 69.00000 , 4.80604 , 0.60145 , 10.41279 , 8.42607 , 126.39103 , 98.01471 , 7.28895 , 0.00000 , 8.42607 , 2.38482 , 3.00000 , 0.96709 , 23.22625
21044 , 277550 , 191.00000 , 2.05289 , 0.26460 , 10.67042 , 18.14964 , 272.24465 , 12.74363 , 7.46929 , 0.00000 , 18.14964 , 6.01028 , 3.00000 , 0.97251 , 14.06874
21045 , 366821 , 147.00000 , 2.47555 , 0.43782 , 12.20323 , 12.59254 , 188.88803 , 53.77247 , 8.54226 , 0.00000 , 12.59254 , 0.33506 , 3.00000 , 0.81852 , 21.81430
21046 , 292797 , 143.00000 , 3.84212 , 0.63757 , 7.30297 , 9.07026 , 136.05389 , 79.23908 , 5.11208 , 0.00000 , 9.07026 , 3.91089 , 3.00000 , 0.83601 , 10.21470
21047 , 910017 , 21.00000 , 2.42598 , 0.81548 , 12.60174 , 11.53077 , 172.96162 , 60.48683 , 8.82122 , 0.00000 , 11.53077 , 4.00821 , 3.00000 , 0.82316 , 28.74664
21048 , 219572 , 78.00000 , 3.18049 , 0.63836 , 9.76936 , 18.91199 , 283.67982 , 5.42435 , 6.83856 , 0.00000 , 18.91199 , 5.93169 , 3.00000 , 0.88339 , 19.44902
21049 , 844580 , 123.00000 , 4.75192 , 0.63095 , 5.97974 , 15.12714 , 226.90710 , 17.04811 , 4.18582 , 0.00000 , 15.12714 , 1.28798 , 3.00000 , 0.94909 , 11.20410
21050 , 726416 , 183.00000 , 3.60088 , 0.58888 , 13.62063 , 13.14221 , 197.13320 , 2.66155 , 9.53444 , 0.00000 , 13.14221 , 4.55620 , 3.00000 , 0.90852 , 19.64768
21051 , 13956 , 103.00000 , 4.33824 , 0.92800 , 12.08194 , 13.33248 , 199.98723 , 33.34447 , 8.45736 , 0.00000 , 13.33248 , 0.78836 , 3.00000 , 0.85210 , 9.69104
21052 , 249751 , 191.00000 , 1.90542 , 0.77713 , 9.65240 , 17.80354 , 267.05314 , 19.16992 , 6.75668 , 0.00000 , 17.80354 , 1.91380 , 3.00000 , 0.93089 , 18.73171
21053 , 862429 , 70.00000 , 1.60072 , 0.91595 , 11.69565 , 11.27206 , 169.08088 , 93.46035 , 8.18695 , 0.00000 , 11.27206 , 4.51728 , 3.00000 , 0.84137 , 22.63686
21054 , 865138 , 196.00000 , 1.04688 , 0.50176 , 10.32303 , 14.97214 , 224.58207 , 85.59132 , 7.22612 , 0.00000 , 14.97214 , 2.22565 , 3.00000 , 0.98824 , 24.24704
21055 , 924578 , 306.00000 , 4.03342 , 0.69530 , 7.37042 , 9.18325 , 137.74881 , 27.39503 , 5.15929 , 0.00000 , 9.18325 , 1.86660 , 3.00000 , 0.85358 , 17.40016
21056 , 966198 , 123.00000 , 4.33469 , 0.83999 , 7.41788 , 7.74238 , 116.13567 , 64.85903 , 5.19251 , 0.00000 , 7.74238 , 5.24942 , 3.00000 , 0.93445 , 6.60136
21057 , 125919 , 379.00000 , 3.37808 , 0.58456 , 10.08769 , 9.06085 , 135.91279 , 62.66950 , 7.06138 , 0.00000 , 9.06085 , 1.43407 , 3.00000 , 0.88472 , 11.20315
21058 , 725155 , 102.00000 , 3.60686 , 0.47103 , 11.17067 , 17.68005 , 265.20080 , 14.76164 , 7.81947 , 0.00000 , 17.68005 , 3.96182 , 3.00000 , 0.83692 , 20.39760
21059 , 211439 , 109.00000 , 2.04839 , 0.74012 , 13.76003 , 17.11118 , 256.66773 , 56.80329 , 9.63202 , 0.00000 , 17.11118 , 1.29699 , 3.00000 , 0.82379 , 11.01272
21060 , 494732 , 112.00000 , 4.39199 , 0.34423 , 8.69152 , 11.61148 , 174.17213 , 20.51836 , 6.08406 , 0.00000 , 11.61148 , 3.10257 , 4.00000 , 0.86466 , 7.47232
21061 , 479774 , 168.00000 , 3.67369 , 0.56434 , 9.33515 , 8.15834 , 122.37509 , 50.87595 , 6.53461 , 0.00000 , 8.15834 , 4.79936 , 4.00000 , 0.97780 , 19.93340
21062 , 761605 , 311.00000 , 2.29581 , 0.26342 , 8.03272 , 10.01888 , 150.28315 , 25.18311 , 5.62290 , 0.00000 , 10.01888 , 3.57457 , 4.00000 , 0.81851 , 10.58858
21063 , 617667 , 39.00000 , 1.96561 , 0.38110 , 13.83078 , 17.52594 , 262.88917 , 17.03957 , 9.68155 , 0.00000 , 17.52594 , 2.04020 , 4.00000 , 0.84547 , 18.08192
21064 , 639294 , 148.00000 , 3.56549 , 0.63649 , 13.26117 , 15.13534 , 227.03007 , 7.92980 , 9.28282 , 0.00000 , 15.13534 , 0.67957 , 4.00000 , 0.96001 , 13.71280
21065 , 910297 , 261.00000 , 1.05517 , 0.41816 , 10.72783 , 11.76359 , 176.45378 , 5.54810 , 7.50948 , 0.00000 , 11.76359 , 2.49856 , 4.00000 , 0.91458 , 15.24846
21066 , 906039 , 228.00000 , 3.74211 , 0.67221 , 8.69170 , 8.54716 , 128.20734 , 57.30647 , 6.08419 , 0.00000 , 8.54716 , 3.84311 , 4.00000 , 0.97167 , 20.65492
21067 , 904456 , 234.00000 , 1.96952 , 0.59563 , 6.95563 , 10.30868 , 154.63019 , 52.28009 , 4.86894 , 0.00000 , 10.30868 , 5.28800 , 4.00000 , 0.87017 , 14.67053
21068 , 543543 , 127.00000 , 4.35353 , 0.49373 , 8.31186 , 14.27960 , 214.19405 , 14.47238 , 5.81830 , 0.00000 , 14.27960 , 0.43891 , 4.00000 , 0.83335 , 23.44758
21069 , 682246 , 56.00000 , 2.43737 , 0.75681 , 7.30039 , 18.05489 , 270.82338 , 33.54511 , 5.11028 , 0.00000 , 18.05489 , 3.67789 , 4.00000 , 0.84394 , 15.06583
21070 , 885856 , 92.00000 , 4.77242 , 0.37344 , 9.83136 , 18.70029 , 280.50436 , 40.09012 , 6.88195 , 0.00000 , 18.70029 , 4.75158 , 4.00000 , 0.81765 , 14.97814
