#sim_number,id,t_peak,amp_scale,P,new_length,offset,a_qpp,B,t_e,phi,sn,r,sn_red,C,D
37,285751,151.91183999999998,9.68195,11.36748,170.5122,20.8506,6.777360000000001,0.0,11.36748,1.32195,2.0,0.91704,17.30191,,
38,557641,64.68092,11.533439999999999,15.1803,227.70448,28.6425,8.07341,0.0,15.1803,3.14721,2.0,0.97806,18.73956,,
39,266741,191.28603999999999,12.460239999999999,12.6224,189.33595,41.49153,8.72217,0.0,12.6224,1.28004,2.0,0.95062,16.19266,,
40,558354,42.95333,7.16858,11.160969999999999,167.41451999999998,5.23228,5.018,0.0,11.160969999999999,5.10482,3.0,0.84872,17.89826,,
41,893253,94.993,11.24772,18.607789999999998,279.11681,43.45177,7.8734,0.0,18.607789999999998,2.5426,3.0,0.98839,17.5524,,
42,675028,63.99183000000001,8.49108,12.80458,192.06864,56.09973000000001,5.94376,0.0,12.80458,0.6140399999999999,3.0,0.9541200000000001,16.01067,,
43,678989,65.8979,13.11535,14.21769,213.26533999999998,82.7478,9.18074,0.0,14.21769,1.24787,3.0,0.94725,16.02484,,
44,481262,200.92019,9.62832,17.08519,256.27778,32.20299,6.73983,0.0,17.08519,2.3572900000000003,3.0,0.8633299999999999,16.4468,,
45,434975,25.76951,7.9971,8.785210000000001,131.77815,45.06372,5.59797,0.0,8.785210000000001,1.0074299999999998,3.0,0.87882,16.04709,,
46,699852,225.36171000000002,11.12841,14.25509,213.82637000000003,68.71859,7.78988,0.0,14.25509,0.7572300000000001,3.0,0.86369,16.26887,,
47,791818,287.1671,9.24044,9.93041,148.95609,13.697460000000001,6.46831,0.0,9.93041,4.537640000000001,3.0,0.8841399999999999,15.837860000000001,,
48,794565,157.25923999999998,11.85638,16.956220000000002,254.34332999999998,97.3691,8.29947,0.0,16.956220000000002,5.67558,3.0,0.97316,16.045370000000002,,
49,754575,185.97836999999998,10.43421,15.14609,227.19131000000002,64.08908000000001,7.30395,0.0,15.14609,3.0670900000000003,3.0,0.9209299999999999,15.27541,,
50,749775,163.97002,10.46439,8.44623,126.69348000000001,81.81919,7.325069999999999,0.0,8.44623,1.3315700000000001,3.0,0.94126,15.7972,,
51,618946,208.83251,9.852789999999999,16.29588,244.43818,69.86482,6.89695,0.0,16.29588,6.1341,3.0,0.8284799999999999,18.15802,,
52,886834,240.00918,11.37657,12.14669,182.20028,49.54408,7.9636,0.0,12.14669,2.37843,3.0,0.8842700000000001,17.7976,,
53,488347,347.30762999999996,7.888669999999999,8.608460000000001,129.12696,9.48237,5.522069999999999,0.0,8.608460000000001,4.22969,3.0,0.81281,16.22232,,
54,9282,192.05397,8.52885,12.29766,184.46493,56.61003,5.9702,0.0,12.29766,2.8816599999999997,3.0,0.8291700000000001,17.954060000000002,,
55,772292,156.42518,7.891,16.55142,248.27123999999998,53.2354,5.5237,0.0,16.55142,4.84968,3.0,0.85206,16.20787,,
56,917224,323.67568,8.7415,8.50705,127.6058,55.095459999999996,6.11905,0.0,8.50705,1.57212,3.0,0.8914700000000001,17.657510000000002,,
57,794237,302.04041,11.50103,9.538110000000001,143.0716,71.44843,8.05072,0.0,9.538110000000001,3.4246,3.0,0.8571799999999999,17.407420000000002,,
58,534817,22.54184,12.199489999999999,12.500589999999999,187.50886,64.06671999999999,8.539639999999999,0.0,12.500589999999999,5.552230000000001,3.0,0.82239,16.22644,,
59,666603,233.38947000000002,9.99209,17.38365,260.75481,48.179840000000006,6.994460000000001,0.0,17.38365,2.78379,3.0,0.9868,18.07675,,
60,930534,285.57254,7.3380399999999995,8.96043,134.40645,50.82827,5.13663,0.0,8.96043,2.42006,4.0,0.88666,17.31012,,
61,277433,118.186,8.69535,17.1504,257.25599,55.96841,6.08675,0.0,17.1504,4.69338,4.0,0.8353299999999999,18.04851,,
62,138771,215.81716,9.43984,13.232660000000001,198.48996,1.8124900000000002,6.607889999999999,0.0,13.232660000000001,4.09537,4.0,0.82931,15.838429999999999,,
63,8588,121.98589,9.8472,8.1576,122.36395,97.46805,6.893039999999999,0.0,8.1576,2.51316,4.0,0.94355,16.726670000000002,,
64,300651,198.59592,10.774289999999999,9.05475,135.82119,38.08238,7.542,0.0,9.05475,2.876,4.0,0.9597899999999999,16.91094,,
65,142702,198.61238,9.061,18.25362,273.80433999999997,38.60868,6.3427,0.0,18.25362,1.7192599999999998,4.0,0.86687,15.58368,,
66,444845,251.45068999999998,3.9319,15.993839999999999,239.90765,46.4779,2.7523299999999997,0.0,15.993839999999999,4.50777,4.0,0.9051100000000001,17.93679,,
67,416028,123.50086999999999,9.266689999999999,11.22379,168.35692,51.00196,6.48669,0.0,11.22379,1.7402900000000001,4.0,0.8913,16.02137,,
68,330704,128.86611000000002,12.90738,19.731939999999998,295.97904,39.21026,9.035169999999999,0.0,19.731939999999998,0.84204,4.0,0.9000100000000001,16.80517,,
69,25849,190.13865,13.891520000000002,15.185989999999999,227.78984,90.83252,9.72407,0.0,15.185989999999999,0.17464000000000002,4.0,0.9159,16.26043,,
70,240185,169.42078,10.86336,17.185979999999997,257.7897,68.89284,7.60435,0.0,17.185979999999997,2.22683,4.0,0.84077,15.39737,,
71,749795,167.6433,9.93126,14.31669,214.75027999999998,52.129979999999996,6.95188,0.0,14.31669,1.3231899999999999,4.0,0.8443299999999999,18.956879999999998,,
72,466711,281.75908,8.15519,13.74358,206.15363,91.36453,5.70863,0.0,13.74358,3.15885,4.0,0.8721,17.04474,,
73,122848,40.601690000000005,11.1325,17.70126,265.51892000000004,26.59507,7.79275,0.0,17.70126,2.8103,4.0,0.91585,16.200429999999997,,
74,235664,150.00037,11.07187,16.89343,253.40139,7.31935,7.750310000000001,0.0,16.89343,0.1107,4.0,0.98618,16.32379,,
75,30836,196.32641999999998,11.576139999999999,17.977420000000002,269.66136,92.16366,8.1033,0.0,17.977420000000002,3.7316199999999995,4.0,0.85175,17.93985,,
76,887501,61.71541,5.50036,14.12776,211.91646,24.72245,3.85025,0.0,14.12776,3.9186900000000002,4.0,0.94216,16.47654,,
77,51975,21.28186,6.8508,16.25301,243.7952,18.62835,4.79556,0.0,16.25301,5.2992,4.0,0.9462,17.88573,,
78,878846,122.60293999999999,9.647839999999999,8.67145,130.07169,37.99416,6.753489999999999,0.0,8.67145,1.703,4.0,0.8548,19.2649,,
79,324896,270.83596,8.46231,8.24799,123.71987,21.03792,5.92361,0.0,8.24799,2.68855,4.0,0.96409,17.23724,,
80,728129,216.55017999999998,9.3459,15.82705,237.40579,60.88098000000001,6.54213,0.0,15.82705,2.69233,5.0,0.8676200000000001,16.49373,,
81,201469,32.45049,3.8496,12.042010000000001,180.63015,96.79126,2.6947200000000002,0.0,12.042010000000001,4.37451,5.0,0.9800200000000001,18.03999,,
82,535784,289.79814,9.896189999999999,8.71213,130.68197,37.018029999999996,6.92733,0.0,8.71213,5.448840000000001,5.0,0.9383,16.18382,,
83,640733,179.34181,8.32899,12.16339,182.45085,18.89506,5.83029,0.0,12.16339,4.42422,5.0,0.88008,17.61822,,
84,781611,74.17943000000001,7.073169999999999,19.211479999999998,288.17222000000004,95.66145,4.951219999999999,0.0,19.211479999999998,2.47094,5.0,0.97478,18.574920000000002,,
85,138455,189.60783,10.26484,14.69149,220.37233999999998,20.85604,7.185389999999999,0.0,14.69149,2.21243,5.0,0.9161600000000001,16.04626,,
86,234359,312.62826,8.76534,11.03386,165.50791,33.46045,6.13574,0.0,11.03386,2.84671,5.0,0.89966,17.2022,,
87,782975,108.80216000000001,11.585519999999999,19.55085,293.26276,51.17011,8.109860000000001,0.0,19.55085,6.24373,5.0,0.81442,17.45381,,
88,402465,92.63382,10.73049,18.12547,271.88203,82.43526999999999,7.51135,0.0,18.12547,6.22425,5.0,0.9563799999999999,16.44474,,
89,51249,34.05327,11.712060000000001,10.8853,163.27947,59.09064,8.19845,0.0,10.8853,5.987769999999999,5.0,0.91789,16.636860000000002,,
90,640323,244.10711,10.92118,14.434510000000001,216.51765,35.92948,7.644819999999999,0.0,14.434510000000001,3.0188,5.0,0.91655,16.7322,,
91,443702,332.93269,10.17938,9.854289999999999,147.81434,43.82678,7.125560000000001,0.0,9.854289999999999,1.33954,5.0,0.92476,17.79778,,
92,925268,202.06435,10.29765,17.19904,257.98566,83.17773000000001,7.208360000000001,0.0,17.19904,1.6722099999999998,5.0,0.98031,15.9337,,
93,812279,108.46728999999999,9.71531,10.585280000000001,158.77913,49.61158,6.80072,0.0,10.585280000000001,1.7850099999999998,5.0,0.81508,18.14797,,
94,976689,101.15554,8.29371,12.71632,190.74482,40.46986,5.8055900000000005,0.0,12.71632,2.58862,5.0,0.9099700000000001,15.7675,,
95,579844,104.0128,8.53673,11.581389999999999,173.72085,53.71099,5.975709999999999,0.0,11.581389999999999,0.2108,5.0,0.9000299999999999,15.43344,,
96,505903,274.38875,8.89228,11.60768,174.11513,59.572419999999994,6.2246,0.0,11.60768,6.09328,5.0,0.9014,16.08835,,
97,192146,272.84481,7.74025,11.109119999999999,166.63685,53.82266,5.41817,0.0,11.109119999999999,0.99454,5.0,0.90722,17.7416,,
98,945380,264.662,13.12986,14.03589,210.53829,51.523759999999996,9.1909,0.0,14.03589,2.35475,5.0,0.83281,18.08426,,
99,35998,48.93651,9.85493,18.41465,276.21972999999997,30.41507,6.89845,0.0,18.41465,0.31908000000000003,5.0,0.90817,16.8708,,
100,788850,221.6649,10.02857,18.23076,273.4614,10.79161,5.01428,0.0,18.23076,4.71056,1.0,0.81411,15.30406,,
101,784499,74.6406,7.74,10.19563,152.93448999999998,13.77418,3.87,0.0,10.19563,1.6712099999999999,1.0,0.8126,17.85083,,
102,227128,31.848409999999998,12.00737,19.10985,286.64777000000004,60.256080000000004,6.00368,0.0,19.10985,5.77076,1.0,0.828,17.05355,,
103,768557,76.0404,8.606689999999999,16.82978,252.44673999999998,80.26059000000001,4.30335,0.0,16.82978,4.7264,1.0,0.94179,16.66861,,
104,345663,268.09665,11.165230000000001,10.91863,163.77944,18.065089999999998,5.5826199999999995,0.0,10.91863,6.02386,1.0,0.9263,16.26734,,
105,874191,311.25255,10.81584,9.82213,147.33192,35.57904,5.40792,0.0,9.82213,4.79735,1.0,0.9867299999999999,15.72406,,
106,995863,181.55133,10.02717,12.11443,181.71643,63.87948000000001,5.01358,0.0,12.11443,4.0361,1.0,0.82084,17.98838,,
107,780852,124.7261,8.729519999999999,15.17242,227.58635,16.5633,4.3647599999999995,0.0,15.17242,0.78055,1.0,0.88207,17.42738,,
108,136262,195.35578999999998,10.10561,18.85528,282.82916,83.49029,5.0528,0.0,18.85528,1.43773,1.0,0.9154399999999999,16.87564,,
109,322297,23.732960000000002,9.25961,19.71045,295.65682000000004,17.54109,4.6298,0.0,19.71045,1.46727,1.0,0.9245399999999999,17.450110000000002,,
110,503854,288.20405,7.03265,12.14883,182.23247,51.12353,3.51632,0.0,12.14883,2.73277,1.0,0.8464,17.34623,,
111,320691,140.48908,10.92211,19.42586,291.38794,60.768409999999996,5.46105,0.0,19.42586,3.42025,1.0,0.9645299999999999,16.365470000000002,,
112,709690,115.99538000000001,8.08117,14.59179,218.87682999999998,88.56103,4.04058,0.0,14.59179,2.1895700000000002,1.0,0.8319799999999999,17.46704,,
113,184786,170.47183,12.29317,10.832139999999999,162.48212,83.95035,6.14659,0.0,10.832139999999999,5.01585,1.0,0.81179,16.34834,,
114,176123,177.31902,8.95973,19.85385,297.80776000000003,35.90441,4.47987,0.0,19.85385,3.70555,1.0,0.9444600000000001,17.41139,,
115,604651,268.60007,9.97612,12.0284,180.42597,70.09531,4.98806,0.0,12.0284,2.31033,1.0,0.9565,17.04918,,
116,264638,70.01504,5.077380000000001,16.01896,240.28434,73.05898,2.5386900000000003,0.0,16.01896,3.2234,1.0,0.94199,19.11845,,
117,826854,220.97189,11.52024,9.676219999999999,145.14328,6.71437,5.76012,0.0,9.676219999999999,2.8359099999999997,1.0,0.8272200000000001,17.11226,,
118,214268,205.88405,9.16165,12.7604,191.40598,29.881809999999998,4.580830000000001,0.0,12.7604,4.18352,1.0,0.8647600000000001,17.3058,,
119,671064,94.07771,12.26334,18.56021,278.40319,45.090709999999994,6.13167,0.0,18.56021,3.76665,1.0,0.96706,16.57941,,
120,786777,41.652,9.73104,6.77453,101.6179,28.34795,4.86552,0.0,6.77453,3.44306,2.0,0.8726299999999999,17.05507,,
121,428451,57.992509999999996,13.77185,19.80613,297.09191,46.15808,6.88592,0.0,19.80613,2.31719,2.0,0.8728,16.07873,,
122,808068,267.92174,10.4939,13.69832,205.47486,16.2794,5.24695,0.0,13.69832,1.5994899999999999,2.0,0.85019,16.04917,,
123,508583,283.99504,6.75311,13.65065,204.75978999999998,12.54296,3.37655,0.0,13.65065,2.55952,2.0,0.9023700000000001,17.29129,,
124,821536,169.66058999999998,7.42771,11.959710000000001,179.39569,23.9857,3.71386,0.0,11.959710000000001,2.46829,2.0,0.81905,16.29938,,
125,24678,216.05199,8.05354,17.61572,264.23587000000003,10.41971,4.02677,0.0,17.61572,4.3082400000000005,2.0,0.87839,16.94768,,
126,408108,41.48905,10.671389999999999,16.4284,246.42593,12.32653,5.3357,0.0,16.4284,0.16011,2.0,0.81017,17.14224,,
127,569633,36.41312,10.09804,9.85902,147.88533999999999,50.80147,5.04902,0.0,9.85902,0.76999,2.0,0.8913399999999999,16.90566,,
128,468096,371.6974,14.42465,7.06797,106.01953,52.5456,7.21232,0.0,7.06797,4.919569999999999,2.0,0.85801,18.86,,
129,742640,41.84244,10.143880000000001,16.718989999999998,250.7849,33.82463,5.071940000000001,0.0,16.718989999999998,0.82855,2.0,0.9084700000000001,17.451179999999997,,
130,837272,35.82528,11.76803,8.63219,129.4829,38.9241,5.88401,0.0,8.63219,2.22986,2.0,0.8841200000000001,17.2746,,
131,57358,301.48391000000004,11.46556,10.81179,162.17682,41.728320000000004,5.73278,0.0,10.81179,3.43339,2.0,0.93981,15.773879999999998,,
132,943524,122.99673999999999,11.19898,18.26984,274.04767000000004,77.33185,5.59949,0.0,18.26984,0.45908000000000004,2.0,0.91046,16.61511,,
133,533358,259.72803999999996,11.10874,12.07463,181.11945,60.95474,5.55437,0.0,12.07463,4.87785,2.0,0.9265899999999999,16.71696,,
134,700696,160.16745,10.50333,19.94429,299.16432000000003,56.514880000000005,5.25167,0.0,19.94429,2.2953099999999997,2.0,0.8642700000000001,16.94077,,
135,560534,154.11539,12.25313,15.65081,234.76211,68.75211999999999,6.12656,0.0,15.65081,3.6196900000000003,2.0,0.86685,16.926470000000002,,
136,953729,209.37611,6.924760000000001,7.1057,106.58551000000001,36.1727,3.4623800000000005,0.0,7.1057,3.1126,2.0,0.9374399999999999,16.288320000000002,,
137,300633,55.228930000000005,8.981489999999999,18.417479999999998,276.26219,2.7176099999999996,4.49074,0.0,18.417479999999998,5.87282,2.0,0.95373,18.351679999999998,,
138,579216,233.71502,10.521469999999999,12.71594,190.7391,48.98646,5.260730000000001,0.0,12.71594,5.44232,2.0,0.8497899999999999,16.59948,,
139,184352,267.23472000000004,8.72744,7.044410000000001,105.66611999999999,19.59994,4.36372,0.0,7.044410000000001,0.39236,2.0,0.8535200000000001,15.97749,,
140,170761,130.56856000000002,13.72132,16.25658,243.84862999999999,60.68696,6.86066,0.0,16.25658,1.6426900000000002,3.0,0.87497,16.40346,,
141,583143,135.68095,8.96692,12.85679,192.85187,14.609829999999999,4.48346,0.0,12.85679,0.9882299999999999,3.0,0.8294600000000001,17.10284,,
142,884903,267.89799,10.80568,13.64192,204.62877,84.76231999999999,5.40284,0.0,13.64192,3.06771,3.0,0.9323100000000001,17.36542,,
143,973967,75.60839,10.30866,18.60557,279.08356000000003,49.3479,5.15433,0.0,18.60557,0.21875999999999998,3.0,0.81005,16.05518,,
144,87582,31.571859999999997,6.160830000000001,10.527560000000001,157.91333,23.07895,3.08042,0.0,10.527560000000001,5.47696,3.0,0.9611299999999999,15.44604,,
145,438309,98.0304,11.70987,16.8947,253.42043999999999,63.94896,5.85494,0.0,16.8947,1.51328,3.0,0.85925,16.68076,,
146,122720,43.80324,12.81904,11.317960000000001,169.7694,45.6914,6.40952,0.0,11.317960000000001,5.69624,3.0,0.9349700000000001,15.69519,,
147,259457,114.93096000000001,7.71077,11.03412,165.51179,76.51205999999999,3.8553800000000003,0.0,11.03412,0.82281,3.0,0.86246,17.60129,,
148,611570,204.91726,7.53487,11.40826,171.12384,83.79926999999999,3.76744,0.0,11.40826,2.8898200000000003,3.0,0.97439,17.48035,,
149,152041,123.25618999999999,8.6418,8.28395,124.25922,45.69423,4.3209,0.0,8.28395,6.25577,3.0,0.8195600000000001,18.346220000000002,,
150,777778,59.59275,11.11761,12.04968,180.74525,55.17913000000001,5.5588,0.0,12.04968,1.47355,3.0,0.82616,17.28298,,
151,497316,29.43565,11.758389999999999,17.74638,266.19565,28.300420000000003,5.87919,0.0,17.74638,1.1663700000000001,3.0,0.85059,16.888720000000003,,
152,802859,114.83855,10.85882,10.97052,164.55775,33.02015,5.42941,0.0,10.97052,2.58845,3.0,0.94815,15.93705,,
153,194205,77.51881,9.41307,19.80152,297.02281,22.79376,4.70653,0.0,19.80152,1.9464400000000002,3.0,0.97782,15.34714,,
154,753145,216.56945,12.81103,7.4597,111.89543,16.56302,6.40551,0.0,7.4597,3.4258,3.0,0.9823700000000001,18.20729,,
155,691044,122.03177,10.68609,19.853189999999998,297.7979,42.1089,5.34304,0.0,19.853189999999998,5.16252,3.0,0.98795,17.02036,,
156,825703,243.48185,14.21215,15.41036,231.15534,95.3392,7.10607,0.0,15.41036,5.5454,3.0,0.98144,18.72876,,
157,982124,263.35705,12.13543,10.449,156.73497,64.47155,6.06771,0.0,10.449,5.58305,3.0,0.97914,16.83203,,
158,281935,145.25784,9.84398,14.60581,219.08719,69.10302,4.92199,0.0,14.60581,0.47552,3.0,0.93732,16.58311,,
159,317746,142.53011,14.15872,11.064869999999999,165.97304,78.86908000000001,7.07936,0.0,11.064869999999999,1.01187,3.0,0.82216,16.33801,,
160,815624,146.78259,11.03083,18.918770000000002,283.78157000000004,31.69282,5.51541,0.0,18.918770000000002,1.19026,4.0,0.86341,16.415879999999998,,
161,136977,21.4239,8.928560000000001,17.03913,255.587,41.635090000000005,4.4642800000000005,0.0,17.03913,3.25142,4.0,0.95767,17.01628,,
162,685259,46.13572,8.72176,19.46135,291.92026,88.58546,4.36088,0.0,19.46135,1.01811,4.0,0.8811700000000001,17.66532,,
163,755169,59.45446,9.93869,14.410420000000002,216.15627,24.84231,4.96935,0.0,14.410420000000002,2.41063,4.0,0.9359700000000001,17.276320000000002,,
164,158697,68.41718,7.853339999999999,18.16139,272.42089,45.49902,3.9266699999999997,0.0,18.16139,0.97077,4.0,0.91599,15.05499,,
165,52591,164.26886000000002,8.06369,17.9563,269.34452000000005,7.47473,4.03184,0.0,17.9563,5.17457,4.0,0.9680799999999999,18.63019,,
166,631500,281.54397,9.52985,12.49178,187.37668,32.11032,4.76492,0.0,12.49178,1.91651,4.0,0.81107,17.62022,,
167,367125,262.99483,8.97142,14.513860000000001,217.7079,62.57626,4.48571,0.0,14.513860000000001,1.67337,4.0,0.8916799999999999,18.40157,,
168,784009,90.42458,10.11243,8.11682,121.75227,12.31297,5.05622,0.0,8.11682,2.26802,4.0,0.8846,18.273329999999998,,
169,808458,313.33297000000005,11.73392,8.92508,133.87614,92.95528,5.86696,0.0,8.92508,4.38074,4.0,0.9691700000000001,17.985529999999997,,
170,654287,70.8669,8.91359,16.115270000000002,241.72905,3.6074300000000004,4.4568,0.0,16.115270000000002,4.68163,4.0,0.81089,16.53993,,
171,964734,261.12271,11.48772,8.86937,133.0406,58.95454,5.74386,0.0,8.86937,4.05497,4.0,0.8656,16.04701,,
172,558393,354.88469,8.181989999999999,7.11759,106.76383999999999,54.03405,4.091,0.0,7.11759,0.15123,4.0,0.8747299999999999,17.6157,,
173,10929,134.43938,9.75655,19.76069,296.41035,27.03358,4.87828,0.0,19.76069,1.76752,4.0,0.968,17.23668,,
174,79533,135.25994,12.46509,11.49014,172.35214,78.7114,6.23255,0.0,11.49014,5.58766,4.0,0.8579399999999999,17.72385,,
175,91927,248.77834,9.74868,9.80417,147.06261999999998,30.91794,4.87434,0.0,9.80417,1.2357,4.0,0.8105600000000001,16.714389999999998,,
176,466332,124.64603000000001,10.223360000000001,19.96633,299.4949,91.62068000000001,5.111680000000001,0.0,19.96633,2.90742,4.0,0.88303,17.4876,,
177,952558,101.59822,9.95429,17.83653,267.54795,74.85996999999999,4.97714,0.0,17.83653,4.285769999999999,4.0,0.8418899999999999,17.37585,,
178,307255,179.65531000000001,11.49375,10.311060000000001,154.66596,14.998339999999999,5.74688,0.0,10.311060000000001,0.70832,4.0,0.9689700000000001,16.24113,,
179,88419,55.5047,10.24355,18.19308,272.89615,92.85295,5.12177,0.0,18.19308,6.2053400000000005,4.0,0.9045799999999999,15.83866,,
180,397005,110.80277,10.11695,19.20135,288.02027999999996,75.07431,5.05847,0.0,19.20135,0.28642,5.0,0.83906,16.064329999999998,,
181,778886,142.6889,12.64604,16.93144,253.97162999999998,65.67426999999999,6.32302,0.0,16.93144,2.31315,5.0,0.86856,18.13706,,
182,697360,35.8246,10.47135,13.149510000000001,197.24268,77.96656,5.23567,0.0,13.149510000000001,1.2126700000000001,5.0,0.86082,16.06523,,
183,184683,15.3929,9.35005,13.343129999999999,200.14688999999998,76.01393,4.6750300000000005,0.0,13.343129999999999,6.01144,5.0,0.82016,17.96617,,
184,809033,215.88012999999998,10.88926,16.67106,250.0659,12.9446,5.44463,0.0,16.67106,5.77513,5.0,0.94729,16.59256,,
185,164935,149.78484,10.71895,10.48448,157.26721,87.05214000000001,5.3594800000000005,0.0,10.48448,1.0519399999999999,5.0,0.84077,17.64821,,
186,681154,189.00388999999998,13.65054,16.87061,253.05917999999997,95.37822,6.82527,0.0,16.87061,2.99211,5.0,0.9001600000000001,16.00799,,
187,78401,32.5099,12.72274,7.55122,113.26825,72.19322,6.36137,0.0,7.55122,2.50707,5.0,0.90251,16.45636,,
188,414453,147.32719,12.63872,11.08695,166.30426,38.769459999999995,6.31936,0.0,11.08695,4.21057,5.0,0.9821700000000001,18.58897,,
189,681677,204.03523,6.03028,12.015239999999999,180.22861,18.62589,3.01514,0.0,12.015239999999999,1.73469,5.0,0.8282,17.52908,,
