#sim_number, id, t_peak, amp_scale, sig_r, sig_f, new_length, offset, P, a_qpp, B, t_e, phi, sn, r, sn_red, bgd, grad_scale, t1, ?
9024 , 917915 , 210.97366 , 10.86318 , 2.13558 , 17.94616 , 255.19011 , 89.30211 , 17.01267 ,  , 7.60423 , 0.00000 , 17.01267 , 0.78429 , 2.00000 , 0.87420 , 18.15402 , quad , -0.17899 , 120.85062 
9025 , 725866 , 92.22812 , 6.41518 , 2.19907 , 9.78213 , 137.68096 , 24.45243 , 9.17873 ,  , 4.49063 , 0.00000 , 9.17873 , 4.09851 , 2.00000 , 0.81152 , 17.30246 , quad , 1.29071 , 422.98244 
9026 , 347862 , 210.83099 , 10.76768 , 2.40611 , 7.54804 , 104.54090 , 62.45387 , 6.96939 ,  , 7.53737 , 0.00000 , 6.96939 , 0.90067 , 2.00000 , 0.90728 , 16.84829 , quad , 5.17010 , 407.55458 
9027 , 954734 , 213.33317 , 7.21937 , 1.89391 , 17.19161 , 229.89931 , 44.53956 , 15.32662 ,  , 5.05356 , 0.00000 , 15.32662 , 0.80693 , 2.00000 , 0.96960 , 16.45203 , quad , 4.63001 , 360.30707 
9028 , 863082 , 148.15372 , 10.93784 , 0.99452 , 7.59261 , 187.33904 , 58.58770 , 12.48927 ,  , 7.65649 , 0.00000 , 12.48927 , 2.68643 , 2.00000 , 0.86021 , 17.12070 , quad , 0.06497 , 168.60193 
9029 , 458936 , 109.09794 , 7.17917 , 1.47874 , 11.68394 , 278.75269 , 69.50076 , 18.58351 ,  , 5.02542 , 0.00000 , 18.58351 , 0.15679 , 2.00000 , 0.94306 , 16.26520 , quad , 1.32764 , 122.43554 
9030 , 320479 , 146.23800 , 14.72321 , 2.36821 , 7.75476 , 295.34648 , 66.02700 , 19.68977 ,  , 10.30625 , 0.00000 , 19.68977 , 1.34900 , 2.00000 , 0.85510 , 15.48805 , quad , -4.85002 , 339.08904 
9031 , 205842 , 163.18395 , 8.83981 , 2.16475 , 11.06089 , 124.93075 , 98.45956 , 8.32872 ,  , 6.18787 , 0.00000 , 8.32872 , 2.26624 , 2.00000 , 0.90968 , 17.29490 , quad , 1.94325 , 151.99201 
9032 , 941653 , 230.76586 , 10.08045 , 1.70609 , 6.85860 , 224.26992 , 99.89724 , 14.95133 ,  , 7.05631 , 0.00000 , 14.95133 , 5.16259 , 2.00000 , 0.91657 , 15.57616 , quad , -8.81746 , 0.49549 
9033 , 258890 , 282.98115 , 9.12127 , 0.38916 , 8.66185 , 115.80510 , 34.53502 , 7.72034 ,  , 6.38489 , 0.00000 , 7.72034 , 4.19611 , 2.00000 , 0.94898 , 17.46128 , quad , 0.99472 , 311.88034 
9034 , 92479 , 106.12455 , 7.52680 , 1.48743 , 14.38236 , 225.94519 , 26.35721 , 15.06301 ,  , 5.26876 , 0.00000 , 15.06301 , 0.79421 , 2.00000 , 0.91565 , 14.99458 , quad , 1.50739 , 463.97964 
9035 , 686177 , 132.50119 , 7.80178 , 1.03789 , 6.72515 , 215.98962 , 50.66546 , 14.39931 ,  , 5.46125 , 0.00000 , 14.39931 , 6.02208 , 2.00000 , 0.98554 , 16.39601 , quad , -2.62661 , 348.74701 
9036 , 271184 , 175.81455 , 10.82114 , 0.64294 , 10.07802 , 289.45860 , 35.74322 , 19.29724 ,  , 7.57480 , 0.00000 , 19.29724 , 4.27660 , 2.00000 , 0.98676 , 17.52564 , quad , -8.98850 , 97.13847 
9037 , 533807 , 181.10748 , 8.08119 , 2.36624 , 15.29314 , 145.88765 , 34.74402 , 9.72584 ,  , 5.65684 , 0.00000 , 9.72584 , 6.00530 , 2.00000 , 0.98382 , 17.63346 , quad , 2.43425 , 362.93614 
9038 , 838298 , 296.28057 , 7.43268 , 2.35486 , 9.49781 , 102.69394 , 34.80201 , 6.84626 ,  , 5.20288 , 0.00000 , 6.84626 , 5.84956 , 2.00000 , 0.97637 , 16.74401 , quad , -7.43193 , 18.34738 
9039 , 697679 , 98.43473 , 11.10142 , 0.32738 , 10.23798 , 252.55766 , 54.73512 , 16.83718 ,  , 7.77099 , 0.00000 , 16.83718 , 0.06038 , 2.00000 , 0.98068 , 18.50153 , quad , 1.03451 , 289.92472 
9040 , 125117 , 90.69467 , 8.99750 , 1.24015 , 8.43940 , 203.39826 , 29.75587 , 13.55988 ,  , 6.29825 , 0.00000 , 13.55988 , 1.30150 , 3.00000 , 0.93672 , 15.71320 , quad , -6.37492 , 138.50237 
9041 , 985102 , 132.98122 , 14.37478 , 0.41254 , 5.32069 , 299.00247 , 79.34856 , 19.93350 ,  , 10.06235 , 0.00000 , 19.93350 , 5.94336 , 3.00000 , 0.95757 , 16.98424 , quad , 8.27265 , 139.80412 
9042 , 157166 , 72.33690 , 8.80523 , 0.84788 , 8.01290 , 134.04239 , 77.85535 , 8.93616 ,  , 6.16366 , 0.00000 , 8.93616 , 6.02408 , 3.00000 , 0.83005 , 15.71846 , quad , -5.40109 , 265.99243 
9043 , 542644 , 140.88552 , 11.35714 , 2.92758 , 9.24230 , 127.00788 , 89.19484 , 8.46719 ,  , 7.95000 , 0.00000 , 8.46719 , 5.84291 , 3.00000 , 0.95592 , 16.10245 , quad , 7.88782 , 443.70165 
9044 , 983296 , 230.41653 , 12.51691 , 1.82758 , 13.61788 , 192.35453 , 84.92106 , 12.82364 ,  , 8.76183 , 0.00000 , 12.82364 , 0.91794 , 3.00000 , 0.88911 , 16.83775 , quad , -0.21304 , 66.88854 
9045 , 303715 , 100.82812 , 11.46005 , 2.51840 , 12.21307 , 148.77334 , 49.45057 , 9.91822 ,  , 8.02204 , 0.00000 , 9.91822 , 5.31605 , 3.00000 , 0.96060 , 18.99808 , quad , 9.51161 , 109.40203 
9046 , 949346 , 262.98324 , 9.39208 , 0.19282 , 9.71289 , 144.90201 , 85.22734 , 9.66013 ,  , 6.57446 , 0.00000 , 9.66013 , 0.82446 , 3.00000 , 0.97932 , 15.95080 , quad , -4.17194 , 361.10722 
9047 , 198581 , 207.75289 , 7.57314 , 0.12503 , 17.02230 , 259.29856 , 94.24809 , 17.28657 ,  , 5.30120 , 0.00000 , 17.28657 , 3.20886 , 3.00000 , 0.91396 , 16.50131 , quad , 7.19292 , 272.25160 
9048 , 246018 , 302.70631 , 11.28194 , 2.89897 , 5.29821 , 165.44789 , 14.79965 , 11.02986 ,  , 7.89736 , 0.00000 , 11.02986 , 5.68965 , 3.00000 , 0.93256 , 17.36445 , quad , 8.64791 , 80.70022 
9049 , 394881 , 81.38568 , 11.33559 , 2.16577 , 17.85225 , 118.00796 , 68.75636 , 7.86720 ,  , 7.93491 , 0.00000 , 7.86720 , 1.70314 , 3.00000 , 0.87906 , 17.40951 , quad , -2.66709 , 441.12624 
9050 , 634991 , 307.82344 , 10.63070 , 2.09848 , 17.36213 , 156.74844 , 8.17216 , 10.44990 ,  , 7.44149 , 0.00000 , 10.44990 , 1.87167 , 3.00000 , 0.86412 , 16.58568 , quad , 3.14540 , 83.97265 
9051 , 253323 , 244.39356 , 12.24164 , 2.17938 , 16.81395 , 101.48955 , 74.99566 , 6.76597 ,  , 8.56915 , 0.00000 , 6.76597 , 1.92234 , 3.00000 , 0.91762 , 15.48834 , quad , 4.08667 , 48.05881 
9052 , 546384 , 125.72980 , 11.07658 , 2.92196 , 10.76041 , 273.10543 , 79.20584 , 18.20703 ,  , 7.75361 , 0.00000 , 18.20703 , 0.44943 , 3.00000 , 0.82227 , 15.98006 , quad , -5.54826 , 57.98020 
9053 , 771032 , 267.20447 , 7.16787 , 2.21505 , 8.81699 , 131.65756 , 4.47077 , 8.77717 ,  , 5.01751 , 0.00000 , 8.77717 , 3.50828 , 3.00000 , 0.89444 , 16.72179 , quad , -2.55043 , 257.46353 
9054 , 887489 , 216.63427 , 10.67450 , 2.45859 , 13.68748 , 279.39026 , 14.41324 , 18.62602 ,  , 7.47215 , 0.00000 , 18.62602 , 5.27188 , 3.00000 , 0.88814 , 16.45207 , quad , -6.57363 , 101.45293 
9055 , 43025 , 108.66477 , 12.05264 , 0.26718 , 9.00709 , 174.89765 , 73.03555 , 11.65984 ,  , 8.43685 , 0.00000 , 11.65984 , 4.92008 , 3.00000 , 0.81687 , 17.31833 , quad , 4.28410 , 217.80261 
9056 , 59264 , 224.51691 , 9.58574 , 0.52468 , 11.79261 , 110.32055 , 37.46179 , 7.35470 ,  , 6.71002 , 0.00000 , 7.35470 , 5.39599 , 3.00000 , 0.91031 , 16.68263 , quad , 3.67798 , 398.66039 
9057 , 479743 , 192.10139 , 9.90089 , 2.06570 , 12.86211 , 167.21722 , 95.05953 , 11.14781 ,  , 6.93062 , 0.00000 , 11.14781 , 2.24499 , 3.00000 , 0.97090 , 16.62350 , quad , -1.25489 , 415.24382 
9058 , 429089 , 79.27080 , 8.92885 , 0.81505 , 11.34961 , 208.46859 , 73.77006 , 13.89791 ,  , 6.25019 , 0.00000 , 13.89791 , 5.17021 , 3.00000 , 0.95956 , 17.94261 , quad , 5.73894 , 14.95942 
9059 , 898190 , 113.59276 , 11.38663 , 0.89341 , 8.76742 , 175.75352 , 99.06342 , 11.71690 ,  , 7.97064 , 0.00000 , 11.71690 , 4.83927 , 3.00000 , 0.92464 , 16.29118 , quad , 4.35020 , 486.26149 
9060 , 901717 , 159.54914 , 8.77376 , 2.67282 , 9.14581 , 188.11130 , 68.03095 , 12.54075 ,  , 6.14163 , 0.00000 , 12.54075 , 4.65803 , 4.00000 , 0.88620 , 17.48799 , quad , 3.74344 , 91.36160 
